noBidThreshold,minBid,bidRange,sigmoidDegree,won,click,spend,trimmed_bids,CTR,CPM,CPC,blended_score
0.2833333333333333,200,100,-20,33685,152.0,2841639.0,0,0.0045123942407599826,84359.18064420365,18694.99342105263,0.27907107290809235
0.2833333333333333,200,100,-30,33493,152.0,2802267.0,0,0.004538261726330875,83667.2439017108,18435.967105263157,0.27908659339943487
0.2833333333333333,200,100,-40,33398,152.0,2782854.0,0,0.004551170728786155,83323.9714952991,18308.25,0.27909433880090806
0.2833333333333333,200,100,-50,33349,152.0,2773074.0,0,0.00455785780683079,83153.1380251282,18243.907894736843,0.27909835104773484
0.2833333333333333,200,150,-10,34480,153.0,3021842.0,0,0.004437354988399072,87640.42923433875,19750.601307189543,0.28084423117485763
0.2833333333333333,200,150,-20,33929,152.0,2900499.0,0,0.004479943411241121,85487.31173922012,19082.230263157893,0.279051602410381
0.2833333333333333,200,150,-30,33661,152.0,2842659.0,0,0.0045156115385757995,84449.63013576542,18701.70394736842,0.27907300328678186
0.2833333333333333,200,150,-40,33522,152.0,2813336.0,0,0.004534335660163475,83925.06413698467,18508.78947368421,0.27908423775973445
0.2833333333333333,200,150,-50,33449,152.0,2797774.0,0,0.004544231516637269,83642.97886334421,18406.407894736843,0.27909017527361873
0.2833333333333333,200,200,-10,34726,153.0,3082759.0,0,0.004405920635834821,88773.80061049358,20148.75163398693,0.2808253705633191
0.2833333333333333,200,200,-20,34062,152.0,2931593.0,0,0.004462450824966238,86066.37895602138,19286.79605263158,0.2790411068586161
0.2833333333333333,200,200,-30,33768,152.0,2867699.0,0,0.0045013030087656955,84923.56669035774,18866.440789473683,0.27906441816889577
0.2833333333333333,200,200,-40,33593,152.0,2829962.0,0,0.004524752180513797,84242.6100675736,18618.17105263158,0.27907848767194465
0.2833333333333333,200,200,-50,33499,152.0,2809529.0,0,0.004537448879071017,83869.04086689155,18483.74342105263,0.279086105691079
0.2833333333333333,200,250,-10,34880,153.0,3122117.0,0,0.004386467889908257,89510.23509174312,20405.993464052288,0.28081369891576313
0.2833333333333333,200,250,-20,34169,152.0,2957066.0,0,0.004448476689396822,86542.3629605783,19454.38157894737,0.27903272237727444
0.2833333333333333,200,250,-30,33841,152.0,2884491.0,0,0.004491593038030791,85236.57693330575,18976.91447368421,0.27905859218645485
0.2833333333333333,200,250,-40,33654,152.0,2843957.0,0,0.004516550781482141,84505.76454507635,18710.24342105263,0.27907356683252565
0.2833333333333333,200,250,-50,33544,152.0,2820084.0,0,0.004531361793465299,84071.19007870261,18553.184210526317,0.27908245343971555
0.2833333333333333,250,50,-10,34945,153.0,3133547.0,0,0.004378308770925741,89670.8255830591,20480.69934640523,0.28080880344437364
0.2833333333333333,250,50,-20,34842,153.0,3107465.0,0,0.004391251937317031,89187.3313816658,20310.228758169935,0.2808165693442084
0.2833333333333333,250,50,-30,34806,153.0,3098484.0,0,0.004395793828650233,89021.54800896398,20251.529411764706,0.28081929447900833
0.2833333333333333,250,50,-40,34794,153.0,3095535.0,0,0.004397309881013968,88967.49439558545,20232.254901960783,0.2808202041104266
0.2833333333333333,250,50,-50,34787,153.0,3093796.0,0,0.0043981947279156,88935.40690487825,20220.88888888889,0.2808207350185676
0.2833333333333333,250,100,-10,35164,154.0,3193957.0,0,0.0043794790126265495,90830.30940734842,20739.98051948052,0.2826276874075759
0.2833333333333333,250,100,-20,34975,153.0,3143844.0,0,0.0043745532523230875,89888.32022873481,20548.0,0.28080655013321204
0.2833333333333333,250,100,-30,34887,153.0,3120967.0,0,0.004385587754751053,89459.31149138647,20398.477124183006,0.28081317083466883
0.2833333333333333,250,100,-40,34851,153.0,3111597.0,0,0.00439011793061892,89282.86132392184,20337.235294117647,0.28081588894018955
0.2833333333333333,250,100,-50,34831,153.0,3106370.0,0,0.004392638741351095,89184.06017627975,20303.071895424837,0.28081740142662887
0.2833333333333333,250,150,-10,35287,154.0,3228411.0,0,0.004364213449712359,91490.09550259303,20963.70779220779,0.2826185280698274
0.2833333333333333,250,150,-20,35048,153.0,3163585.0,0,0.00436544167998174,90264.35174617666,20677.02614379085,0.28080108318980723
0.2833333333333333,250,150,-30,34925,153.0,3131374.0,0,0.004380816034359342,89659.9570508232,20466.496732026142,0.2808103078024338
0.2833333333333333,250,150,-40,34882,153.0,3120025.0,0,0.004386216386675076,89445.12929304513,20392.320261437908,0.28081354801382324
0.2833333333333333,250,150,-50,34855,153.0,3112892.0,0,0.004389614115621862,89309.7690431789,20345.69934640523,0.28081558665119133
0.2833333333333333,250,200,-10,35361,154.0,3249458.0,0,0.004355080455869461,91893.83784395238,21100.376623376622,0.2826130482735216
0.2833333333333333,250,200,-20,35106,153.0,3179343.0,0,0.004358229362502137,90564.09160827208,20780.019607843136,0.28079675579931945
0.2833333333333333,250,200,-30,34960,153.0,3140782.0,0,0.004376430205949656,89839.30205949656,20527.986928104576,0.280807676305388
0.2833333333333333,250,200,-40,34901,153.0,3125118.0,0,0.00438382854359474,89542.36268301767,20425.607843137255,0.28081211530797506
0.2833333333333333,250,200,-50,34871,153.0,3117268.0,0,0.00438760001147085,89394.28178142295,20374.30065359477,0.2808143781887007
0.2833333333333333,250,250,-10,35418,154.0,3265756.0,0,0.004348071602010277,92206.10988762777,21206.20779220779,0.28260884296120614
